study,domain,sub_domain,source,table_label,table_name,table_name_nda,var_name_nda,type,metric,atlas,var_name,var_label,notes,condition,id
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_postcentral.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_597,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-postcentral,,,59960
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_posteriorcingulate.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_564,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-posteriorcingulate,,,59961
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_posteriorcingulate.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_598,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-posteriorcingulate,,,59962
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_precentral.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_565,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-precentral,,,59963
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_precentral.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_599,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-precentral,,,59964
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_precuneus.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_566,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-precuneus,,,59965
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_precuneus.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_600,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-precuneus,,,59966
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_rostralanteriorcingulate.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_567,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-rostralanteriorcingulate,,,59967
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_rostralanteriorcingulate.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_601,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-rostralanteriorcingulate,,,59968
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_rostralmiddlefrontal.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_568,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-rostralmiddlefrontal,,,59969
