sub_id,mat_path,schaefer400,schaefer200,mean_fd
sub-NDARINV3XVWEYUY_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV3XVWEYUY_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-345.93879992334,-178.840950892557,0.4382194915
sub-NDARINV4422DGC4_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV4422DGC4_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-332.608690137333,-172.836194809926,1.0606488714
sub-NDARINV44AD8TE0_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV44AD8TE0_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-351.844665801889,-183.542586899046,0.3328758519
sub-NDARINV45F6VJ4T_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV45F6VJ4T_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-324.733098208689,-168.474841595643,0.3822984762
sub-NDARINV4C8YJ9BG_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV4C8YJ9BG_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-351.376439127365,-184.605541956797,0.3387313995
sub-NDARINV4EKBZJTW_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV4EKBZJTW_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-350.058273607995,-186.032428877216,0.32419487
sub-NDARINV4G19G9J8_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV4G19G9J8_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-342.062222060299,-184.654669093792,0.4385175153
sub-NDARINV4GL2HZC0_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV4GL2HZC0_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-324.16018203263,-172.122348658522,0.3818270085
sub-NDARINV4GRV3A5L_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV4GRV3A5L_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-343.864330356452,-177.601987299817,0.3281453819
sub-NDARINV4GTMLDUE_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV4GTMLDUE_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-342.797081216585,-178.856562278367,0.806611377
sub-NDARINV4HWVY2FD_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV4HWVY2FD_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-337.573382298947,-180.656759444126,0.3947067771
sub-NDARINV4KRWWP18_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV4KRWWP18_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-337.65735833891,-180.442698667851,0.3649079106
sub-NDARINV4M3N3TW1_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV4M3N3TW1_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-335.230937435476,-176.607010093395,0.5845211403
sub-NDARINV4V78W98J_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV4V78W98J_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-344.43969637904,-181.269553165267,0.4173373342
sub-NDARINV4XTDZ6WT_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV4XTDZ6WT_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-352.027480791307,-182.897754512728,0.5411013154
sub-NDARINV4ZV4U25B_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV4ZV4U25B_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-340.82895429054,-177.68857696236,0.3419272578
sub-NDARINV51GZ9MPP_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV51GZ9MPP_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-330.241363848008,-175.160743089127,0.2924600085
sub-NDARINV53EP1G5X_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV53EP1G5X_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-343.677322250543,-180.03961595838,0.3534909853
sub-NDARINV59K6Y5TC_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV59K6Y5TC_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-339.106072678391,-177.709339839376,0.688329314
